Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   90    1 0xffffff7f8176d000 0x4000     0x4000     com.apple.driver.AppleUSBHostMergeProperties (1.2) 5BE9AD31-236B-32F5-A29A-8A6DFDD4F534 <5 3 1>
   91    1 0xffffff7f81494000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 366036F0-AC1A-3B73-A6F6-90816E48D751 <23 22 7 6 5 3 1>
   92    0 0xffffff7f81635000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) 28ED5A1D-DF6B-3836-9A7D-572F57623449 <23 7 6 5 3 1>
   94    2 0xffffff7f80d20000 0xce000    0xce000    com.apple.vecLib.kext (1.2.0) 9CF55BF4-B8F5-3605-87A6-7149E13F461B <9 7 6 5 3>
   95    6 0xffffff7f80dee000 0x3f000    0x3f000    com.apple.iokit.IOAudioFamily (206.5) 2D823CAE-0134-3F4A-9C86-795C749DDF4B <94 6 5 3 1>
   96    1 0xffffff7f8149c000 0xc000     0xc000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) ABD85FB9-07A4-37BC-AEC4-753BDE10F506 <59 23 22 6 5 3 1>
   97    0 0xffffff7f81a77000 0x66000    0x66000    com.apple.driver.AppleUSBAudio (315.6) 46A8D67F-C265-30A0-9F64-D8B32F4E8273 <96 95 91 90 23 13 6 5 3 1>
   98    0 0xffffff7f8317c000 0xb000     0xb000     com.apple.driver.AppleHIDKeyboard (208) 2A967A40-DEB2-3B5E-A03D-90F72D93653F <59 6 5 3>
   99    1 0xffffff7f815d7000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 92EE1DF0-90B6-370E-A9E6-347E2ED903FC <8 7 6 5 3 1>
  100    0 0xffffff7f8327b000 0x4000     0x4000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 6C2A218B-5497-357B-9B3D-5F6AB495DA6D <99 5 3>
  101    0 0xffffff7f80f9f000 0x7000     0x7000     com.intel.driver.EnergyDriver (3.5.5) 60449181-1B5B-374C-84C4-F81DDE69DAF8 <8 6 5 3>
  102    6 0xffffff7f81898000 0x9000     0x9000     com.apple.AppleGraphicsDeviceControl (3.28.4) 400C2E21-0880-36D7-AC5E-6B9BC885F158 <54 13 8 7 6 5 3 1>
  103    0 0xffffff7f818db000 0xd000     0xd000     com.apple.AppleGPUWrangler (3.28.4) D61F64EE-E8D7-3E54-BEF9-4555C7A2F241 <102 54 13 8 7 6 5 3 1>
  104    2 0xffffff7f81ae5000 0x22000    0x22000    com.apple.iokit.IOSurface (255.1) CAF77C5D-98FF-33D0-B31C-FC327D7AD4F6 <8 7 6 5 3 1>
  105    2 0xffffff7f81b09000 0xa5000    0xa5000    com.apple.iokit.IOAcceleratorFamily2 (404.2.2) FA92A03C-F113-384A-9B1F-B2C52DE7F4D2 <104 54 31 18 13 8 7 6 5 3 1>
  106    0 0xffffff7f81bbe000 0x11a000   0x11a000   com.apple.driver.AppleIntelFramebufferCapri (12.0.4) B3027058-3C6B-3A4E-8CE1-C7436F751343 <105 102 54 13 12 8 7 6 5 3 1>
  107    0 0xffffff7f834a8000 0x8000     0x8000     com.apple.driver.AudioAUUC (1.70) 6F364705-FC37-3CA8-8E15-C2E3000CE205 <95 54 13 12 8 6 5 3 1>
  108    2 0xffffff7f82578000 0x1f6000   0x1f6000   com.apple.kext.AMDSupport (2.0.4) 1FF9C137-B26D-3DE1-825F-1981E986FC16 <102 54 13 12 8 6 5 3 1>
  109    0 0xffffff7f83ddc000 0xc7000    0xc7000    com.apple.kext.AMD7000Controller (2.0.4) DD9ACA5F-EAE9-3BBA-B2B1-B34AACC9393C <108 102 54 13 12 6 5 3 1>
  110    0 0xffffff7f8320e000 0x7000     0x7000     com.apple.driver.AppleOSXWatchdog (1) F677275E-0C32-3CCB-9AE8-FD02558657AB <13 8 7 6 5 3 1>
  111    0 0xffffff7f83f0e000 0x8000     0x8000     com.apple.driver.AppleSMCLMU (212) D091FA23-0C35-32D8-8E6C-D1DEC3EEA1BF <54 14 6 5 3>
  114    2 0xffffff7f81f38000 0xc000     0xc000     com.apple.iokit.IOHDAFamily (282.10) B553255E-87B3-3258-BE61-933DD039A18C <6 5 3 1>
  115    1 0xffffff7f81f47000 0x1d000    0x1d000    com.apple.driver.AppleHDAController (282.10) 70256EC9-AF38-31BD-A3C5-9C0E30B64AA3 <114 95 54 13 8 7 6 5 3 1>
  116    0 0xffffff7f829bb000 0x3000     0x3000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 185C5DD5-9803-3AD8-A391-A4F45FFF101E <13 6 5 3>
  117    4 0xffffff7f82412000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 9DF17529-5D31-365E-A28F-D5581C4D18B4 <12 8 7 6 5 3>
  118    0 0xffffff7f8241c000 0x5000     0x5000     com.apple.driver.AppleLPC (3.1) 14EE81C5-2240-3C11-A1BA-70CB64D9A25D <117 13 6 5 3>
  119    1 0xffffff7f8279d000 0xf000     0xf000     com.apple.driver.Apple16X50Serial (3.2) 5D58523F-F47C-3250-87F5-0C7EBAD2CFC5 <86 13 6 5 3>
  120    0 0xffffff7f827ac000 0x4000     0x4000     com.apple.driver.Apple16X50ACPI (3.2) AF3C253F-B8F3-3D62-B427-48C92526CFBC <119 12 5 3>
  121    0 0xffffff7f833a3000 0x6000     0x6000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) E8A46A07-5CA9-3449-AB3C-194D7EDBDEC6 <14 10 8 5 3 1>
  122    0 0xffffff7f832eb000 0x17000    0x17000    com.apple.driver.pmtelemetry (1) 90FED9E0-C0C8-36C4-8231-99FF16B46CB0 <8 7 6 5 3>
  123    0 0xffffff7f82832000 0xf6000    0xf6000    com.apple.iokit.IOBluetoothFamily (6.0.9f2) 6437483C-5DDE-3E8F-92B5-2F890F3BC952 <23 18 12 8 7 6 5 3 1>
  124    0 0xffffff7f832c1000 0xe000     0xe000     com.apple.iokit.IOBluetoothSerialManager (6.0.9f2) 6D248369-38DB-3948-B7B6-C62D339B55A7 <86 8 6 5 3 1>
  125    1 0xffffff7f8244c000 0x18000    0x18000    com.apple.driver.X86PlatformPlugin (1.0.0) F5B7D100-AD52-386F-9F29-668FDCD0FE7D <117 78 23 14 12 8 7 6 5 3 1>
  128    0 0xffffff7f830b3000 0xd000     0xd000     com.apple.driver.AppleSSE (1.0) 820E89F2-2F5E-3673-AF12-FAB3726810D2 <24 20 19 8 6 5 3 1>
  129    0 0xffffff7f82fc9000 0xa000     0xa000     com.apple.iokit.IOUserEthernet (1.0.1) 67F54A00-494C-357F-B4FF-6A291C66C4DA <16 7 6 5 3 1>
  130    0 0xffffff7f8281c000 0xe000     0xe000     com.apple.driver.AppleHV (1) 70BE21E9-ED1C-3847-841B-F3692643F387 <8 7 6 5 3 1>
  131    2 0xffffff7f81ce0000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) 43E4FF0D-16A8-32EB-AAC0-73ADB153914E <16 6 5 3 1>
  132    1 0xffffff7f81ce7000 0x9b000    0x9b000    com.apple.plugin.IOgPTPPlugin (700.7) F27998C4-8FEA-392F-B132-F6A67CB4BC1B <131 59 17 16 9 7 6 5 3 1>
  133    0 0xffffff7f81d95000 0x10000    0x10000    com.apple.iokit.IOAVBFamily (710.1) 2B2C886C-C656-3782-998D-79172349C318 <132 131 17 16 7 6 5 3 1>
  134    1 0xffffff7f81f6a000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) BC6BE924-53E3-318A-A1B7-B896FA559717 <6 5 3>
  135    2 0xffffff7f81f6e000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) 358B8FF6-88DE-31BD-BF81-34E04A558829 <134 13 12 6 5 3>
  136    0 0xffffff7f80e35000 0xa000     0xa000     com.Cycling74.driver.Soundflower (2) 2D779840-7439-31E5-8A66-D786C3F47B75 <95 6 5 3>
  137    0 0xffffff7f818a3000 0x4000     0x4000     com.apple.AGDCPluginDisplayMetrics (3.28.4) 80FF8D30-0F1F-3EAD-8C06-126254E42C02 <102 8 7 6 5 3 1>
  140    0 0xffffff7f83db9000 0x12000    0x12000    com.apple.kext.AMDRadeonX4000HWServices (2.0.4) A06396FC-2A7A-3E85-8A5A-A17DEE69F6A1 <54 13 12 8 6 5 3 1>
  141    0 0xffffff7f829be000 0x5bc000   0x5bc000   com.apple.kext.AMDRadeonX4000 (2.0.4) 89FA9716-954A-33D9-AE49-273C84E69A19 <105 104 54 13 8 6 5 3 1>
  142    0 0xffffff7f8365f000 0x74f000   0x74f000   com.apple.kext.AMDRadeonX4030HWLibs (1.0) A79BE6E7-2C1D-3187-BC84-54436DCF34B9 <13 6 5 3 1>
  143    1 0xffffff7f82464000 0x9000     0x9000     com.apple.driver.X86PlatformShim (1.0.0) 6E37DB1C-5DF5-3F7A-9716-81C076F8E3BF <125 117 14 8 5 3>
  144    0 0xffffff7f8312a000 0x20000    0x20000    com.apple.driver.AGPM (110.23.46) 9A7BD08F-08E4-3DB7-A339-706609B0149A <117 102 55 54 13 7 6 5 3>
  145    0 0xffffff7f83264000 0x7000     0x7000     com.apple.driver.ApplePlatformEnabler (2.7.0d0) 8A5BD78F-CEBD-39E1-923C-CD50627509D8 <8 6 5 3>
  146    1 0xffffff7f81fa3000 0x13000    0x13000    com.apple.kext.OSvKernDSPLib (527) C39D546B-2D04-3E1E-A96F-9A478137270E <6 5>
  147    1 0xffffff7f81fb6000 0x142000   0x142000   com.apple.driver.DspFuncLib (282.10) F5B4377A-62C3-3034-80CE-99FF5F2DF7C8 <146 95 94 64 7 6 5 3 1>
  148    0 0xffffff7f82103000 0xea000    0xea000    com.apple.driver.AppleHDA (282.10) B2208DA8-8CD9-36D8-BD59-C6D9A5379585 <147 115 114 95 55 54 7 6 5 3 1>
  149    0 0xffffff7f81f7f000 0x21000    0x21000    com.apple.driver.AppleMikeyDriver (282.10) 718D8878-FCDD-362F-BD81-A30176EAD73D <135 12 6 5 3 1>
  151    4 0xffffff7f83eae000 0x60000    0x60000    com.apple.filesystems.ntfs (3.13) 88C362BF-0B0E-32DF-9D85-AF9703B048B8 <8 7 6 5 1>
  152    0 0xffffff7f830df000 0x3d000    0x3d000    com.apple.kext.AMDFramebuffer (2.0.4) 2D69971B-8668-3D6E-8EFA-7927C29FBCC6 <108 54 13 12 8 6 5 3 1>
  153    0 0xffffff7f832d1000 0x17000    0x17000    com.apple.driver.AppleMCCSControl (1.5.6) 2A77F45F-2682-337F-88D0-AECA120C5832 <135 54 14 13 12 8 6 5 3 1>
  154    0 0xffffff7f830d0000 0x9000     0x9000     com.apple.driver.AppleUpstreamUserClient (3.6.5) 494501D4-CFB0-3474-8F18-04CEB5F56E82 <54 13 12 8 6 5 3 1>
  155    2 0xffffff7f8246d000 0x5000     0x5000     com.apple.kext.triggers (1.0) B632A1C4-BDEA-35DF-B320-C5D2E77C241F <8 7 6 5 3 1>
  156    0 0xffffff7f83270000 0xb000     0xb000     com.apple.filesystems.autofs (3.0) 9F33B8ED-D4DB-31A7-8E12-7ECE9F6CDE9A <155 8 7 6 5 3 2 1>
  157    0 0xffffff7f8365b000 0x4000     0x4000     com.apple.driver.AppleMikeyHIDDriver (131) 415F11F4-C7A7-3E59-8C0B-AC27D2B0A071 <59 8 5 3 1>
  158    0 0xffffff7f81619000 0x1c000    0x1c000    com.apple.fileutil (18.306.12) C5EF45E1-B31A-3DC0-827C-5057DAAADDE6 <6 5 3 2 1>
  159    0 0xffffff7f82472000 0x6c000    0x6c000    com.apple.filesystems.smbfs (3.3.1) E8502198-6395-35AA-9DBD-35AD93251D37 <155 10 8 7 6 5 3 1>
  160    1 0xffffff7f841bc000 0x11000    0x11000    com.apple.filesystems.msdosfs (1.10) BA2C22D4-9414-3864-8C30-C10941599FD4 <8 6 5 1>
